,Conteudo
10,o presidente luiz inacio lula da silva participou nesta da cerimonia de credenciamento do instituto de matematica pura e aplicada como instituicao de educacao no rio de janeiro em seu ele destacou a importancia de investimentos na educacao publica de qualidade um preconceito contra as escolas publicas no brasil as pessoas nao conhecem nem os seus filhos nao estudam disse lula mesma forma que o estudante de escola privada tera uma melhor qualidade de queremos abrir a porta para aqueles que nao tem a mesma oportunidade do o presidente lula tambem afirmou que os investimentos em educacao nao devem ser tratados como gastos nao e e disse ele citou o exemplo de paises asiaticos que investiram na qualidade da educacao e pediu maior foco em materias como matematica
11,nesta dados divulgados pelo ibge revelaram que 7 milhoes de mulheres entre 15 e 29 anos nao estudaram nem trabalharam em apontando o cuidado com parentes ou tarefas domesticas como o principal motivo esse contingente representa dos mais de milhoes de brasileiros nessa faixa etaria na mesma situacao o trabalho de cuidado abrange atividades domesticas e assistencia a como preparo de limpeza e cuidado de criancas e idosos muitas essas atividades sao consideradas por nao entrarem na contabilidade do trabalho remunerado no governo com o apoio da rosangela a um grupo composto por representantes de 17 ministerios esta discutindo a criacao de um plano nacional com medidas para apoiar tanto as mais impactadas por esse tipo de servico nao quanto aqueles que necessitam dos como idosos e pessoas com deficiencia a previsao e apresentar uma proposta ate maio de informa o jornal o embora o formato ainda nao esteja o grupo estabeleceu que as acoes devem incluir oferta de servicos creches e escolas tempo direitos como a recursos e beneficios politicas de transferencia de regulacao regulamentacao das relacoes e condicoes de trabalho das profissoes de e transformacao cultural meio de campanhas de apesar da ausencia de uma politica nacional de cuidado o governo ja realizou acoes dispersas que dialogam com o como a retomada da construcao de creches e a ampliacao das escolas em tempo liberando o tempo das uma politica nacional de cuidados teria um impacto economico significativo a organizacao internacional do trabalho indicou que ate 300 milhoes de empregos poderiam ser criados globalmente a partir dessas estruturas alem a onu mulheres destacou que a remuneracao adequada dessas atividades poderia impactar ate do pib enquanto o brasil avanca na construcao de uma politica paises vizinhos como republica dominicana e uruguai ja possuem experiencias que sao observadas pelo governo brasileiro a apoia a destacando que transformar o trabalho de cuidado em politica publica pode trazer ao a para uma trabalho do cuidado precisa ser um trabalho de homens e mulheres precisamos despertar a sociedade para que exista uma responsabilidade compartilhada para alem do compartilhamento da acredito que conseguiremos ter avancos reais com relacao ao assunto quando transformarmos a politica do cuidado em politica politica de estado e e isso que o presidente lula esta fazendo no atual construindo a politica e o plano nacional de cuidado voltado para cuidar de quem em 2023 e continuamos sendo as principais responsaveis pelo trabalho de enfrentando muitos desafios diariamente para exercer essa funcao sem deixar de lado as tantas outras atribuicoes que a sociedade nos impoe
12,jair que esta espalhou uma serie de mentiras e proferiu ataques durante uma entrevista a uma radio argentina ele esta no pais para a posse do presidente o ultralibertario de extrema direita javier milei uma das mentiras ditas por bolsonaro na entrevista a radio mitre foi que a esquerda quebrou o brasil ele entao atacou o dizendo que os estados dessa regiao nao mentiu sobre o declarando que seu governo criou o e justificou o massacre de israel contra a palestina bolsonaro disse que a existencia de israel e um atacou lula ao mentir sobre o presidente supostamente nunca ter condenado atos terroristas do hamas ele disse que lula e mas lula condenou varias vezes os ataques do hamas ele entao reclamou de estar inelegivel pela reuniao com embaixadores bolsonaro tambem espalhou uma fake news ao dizer que o presidente lula reuniu com a nata das liderancas em comunidades tomadas pelo trafico no rio de janeiro sem qualquer aparato de
13,o ministerio dos direitos humanos e da cidadania comandado por silvio luiz de lancou o programa nacional de fortalecimento das casas de acolhimento a politica publica ira compor a estrategia nacional de enfrentamento a violencia contra pessoas ambas publicadas no diario oficial da uniao desta em ate 120 o mdhc publicara atos para adesao de instituicoes publicas e privadas com objetivo de implementar e fortalecer casas de acolhimento para pessoas no mesmo sera instaurado comite de avaliacao e monitoramento para acompanhar as acoes a serem instituidas pelo programa o brasil registrou ao menos 273 mortes violentas de pessoas no ano passado desses 228 foram 30 suicidios e 15 outras como morte decorrente de lesoes por agressao a media e de um morto a cada 32 de acordo com o observatorio de mortes violentas contra que ainda conta contou com a parceria de antra nacional de travestis e e abglt brasileira de transexuais e de acordo com a o programa acolher devera fortalecer e tambem implementar casas de acolhimento para pessoas em situacao ou iminencia de rompimento dos vinculos familiares em razao de sua identidade de orientacao sexual caracteristicas sexuais diferentemente do que se compreende por moradia as casas de acolhimentos se destinam ao abrigo provisorio de pessoas acometidas pela violencia ou em risco de perda eminente de vinculo comunitario em razao do preconceito e das violacoes de direitos o programa se baseara no reconhecimento de violencias e discriminacoes em razao das condicoes de genero e sexuais sofridas pela comunidade de modo estrutural na sociedade brasileira de acordo com o a secretaria nacional dos direitos das pessoas symmy programa nasce com a expectativa de que os as acoes e o desenvolvimento de projetos do poder executivo observem a importancia da institucionalizacao das politicas publicas para as pessoas pois nao podemos permitir que mudancas governamentais firam o principio das garantias de direitos previstos inclusive na declaracao universal dos direitos tendo como pessoas entre 18 e 65 anos em situacao de abandono o programa ira priorizar populacoes vulnerabilidade acrescida por atravessamento de outros marcadores como os de raca e deficiencia e indica a portaria oficial
14,a medida que o mundo continua a enfrentar uma severa recessao economica e varios indicadores economicos na china refletem uma trajetoria de recuperacao bem como altos e baixos na economia a atencao global se volta para uma importante reuniao de fim de ano para entender como os principais formuladores de politicas chineses veem as perspectivas economicas da china e as principais prioridades para a conferencia economica central e geralmente realizada em meados de dezembro e estabelece o tom para a formulacao de politicas economicas para o proximo ano como um preludio crucial para a uma reuniao do biro politico do comite central do partido comunista da china na sugeriu que os formuladores de politicas economicas provavelmente priorizarao diretrizes para consolidar ainda mais a recuperacao garantir um crescimento continuar a abordar os principais riscos e impulsionar novos setores emergentes para garantir um desenvolvimento de alta disseram analistas no em enquanto a economia da china continuara enfrentando riscos e desafios tanto externos quanto a trajetoria de recuperacao ascendente provavelmente continuara e se consolidara ainda gracas a forte resiliencia da economia chinesa e a abundancia de ferramentas e margens de manobra para os formuladores de politicas chineses lidarem eficazmente com a pressao preveem os analistas a segunda maior economia do mundo permanecera como o principal motor de crescimento global para em que a economia global e esperada para enfrentar grandes riscos ate este domingo informacoes sobre a conferencia economica realizada a portas permanecem escassas um comunicado oficial da reuniao geralmente e divulgado apos a reuniao alguns sinais indicam que a reuniao pode estar proxima em primeiro geralmente e realizada em meados de dezembro a conferencia do ano passado ocorreu de 15 a 16 de dezembro e prometeu uma serie de medidas para enfrentar riscos e promover uma melhoria geral nas operacoes economicas em outro indicador crucial para a conferencia anual e uma reuniao do biro politico do comite central do que se concentra no trabalho economico do proximo ano e ocorre pouco antes da conferencia na o biro politico realizou a reuniao para analisar e estudar o trabalho economico de organizar a conduta do partido e o trabalho de combate a e revisar regulamentos sobre a acao disciplinar do partido relatou a agencia de noticias xinhua a reuniao do biro politico geralmente e considerada uma janela confiavel do que pode estar reservado para a conferencia de trabalho observaram os reuniao do biro politico geralmente define o tom para a conferencia economica e os sinais de politicas da reuniao desse biro geralmente serao mais refinados na conferencia economica disse hu do forum de integracao das economias ao global times no sinais da reuniao do biro politico na sugeriram que as prioridades serao colocadas na consolidacao da recuperacao enfrentando riscos e promovendo o desenvolvimento de alta qualidade em de acordo com a reuniao destacou que e importante impulsionar a vitalidade prevenir e mitigar melhorar as expectativas consolidar e promover o impulso de recuperacao economica e melhorar efetivamente a qualidade da economia chinesa e promover seu crescimento dentro de uma faixa de acordo com a xinhua a reuniao tambem enfatizou o principio geral de buscar o progresso mantendo a yao pesquisador especial do gabinete dos conselheiros do conselho de disse como a economia da china continuara enfrentando muitos desafios internos e externos em buscar o progresso mantendo a estabilidade permanecera a tonalidade geral para o proximo que estou dizendo e que nosso trabalho economico deve respeitar as leis da ser racional e nao ansioso nesse devemos persistir em fazer progressos mantendo a avancar passo a passo e resolver riscos e problemas durante o processo de disse yao ao global yao observou no que diz respeito ao enfrentamento de riscos e a china continuara focada em questoes no mercado divida do governo local e apoio ao setor privado em 2024 sao problemas que enfrentaremos no proximo ano e seremos capazes de e manter um crescimento economico relativamente embora tanto a reuniao do biro politico quanto a conferencia economica central nao oferecam uma meta especifica de as tonalidades sugerirao que os formuladores de politicas tomarao esforcos mais fortes para consolidar a recuperacao e garantir um crescimento disseram apontando para varias promessas de politicas da reuniao de a reuniao disse que as politicas fiscais devem ser fortalecidas e aprimoradas adequadamente em qualidade e enquanto as politicas monetarias prudentes devem ser precisas e essas promessas indicam que os formuladores de politicas provavelmente intensificarao o suporte tanto fiscal quanto monetario para a economia em observaram os apontando para a persistente pressao tian um economista baseado em disse que espera mais politicas de estimulo para o proximo ano conferencia economica central provavelmente elaborara um conjunto de politicas para garantir a continuidade da recuperacao economica no proximo disse tian ao global o foco das politicas de estimulo sera o observaram os analistas a reuniao do bureau politico na tambem enfatizou que e imperativo intensificar a regulacao expandir a demanda domestica e aprofundar a reforma estrutural do lado da pelos sinais da impulsionar o consumo sera uma prioridade disse observando que a contribuicao do consumo para o crescimento economico atingiu 80 por cento nos primeiros 11 meses de 2023 no proximo provavelmente introduziremos algumas politicas de o que pode impulsionar o as prioridades tambem serao dadas para impulsionar novas industrias emergentes para fomentar novos motores de crescimento e garantir um desenvolvimento de alta observaram os apontando para varias referencias no comunicado da reuniao de a reuniao observou que tambem e essencial acelerar a criacao de um paradigma de focar na promocao do desenvolvimento de alta aprofundar de forma abrangente a reforma e a e construir autossuficiencia e forca em ciencia e tecnologia de alto nivel tambem instou a esforcos para estabelecer o antes de abolir o o segundo os se refere ao foco em fomentar novos modelos de apesar dos varios riscos e desafios em que a economia chinesa permaneca uma das de crescimento mais rapido entre as principais economias e o principal impulsionador do crescimento disseram os analistas algumas organizacoes internacionais tambem aumentaram suas projecoes de crescimento para a mesmo quando reduziram as previsoes para o crescimento global
15,um acidente de trabalho envolvendo funcionarios de uma empresa de internet provocou a descarga eletrica que resultou na morte de nove pessoas na noite de sabado no acampamento terra e do movimento dos trabalhadores rurais sem terra em sul do seis e tres trabalhadores da empresa morreram oito pessoas ficaram feridas com queimaduras e foram levadas ao hospital neste domingo uma delas permanecia internada com queimaduras de segundo conforme o as informacoes foram divulgadas neste domingo em entrevista coletiva de dirigentes do que expressaram solidariedade as vitimas e reafirmaram a importancia da luta pela terra no sul do regiao marcada pela acao violenta de grandes proprietarios de terras reivindicadas para a reforma segundo o funcionarios da empresa de internet o minimo padrao de faziam a instalacao de uma antena de internet solicitada individualmente por moradores do que tem cerca de mil pessoas apos a descarga o samu e o corpo de bombeiros foram acionados o fogo foi e os se mobilizaram para resgatar os volta das quando tentavam fixar uma o equipamento teria entrado em contato com a de alta tensao esse contato incendiou todos os cabos de que sao feitos de material e incendiou alguns explicou pablo da direcao nacional do o mst identificou oito dos nove jovenilson aragao francisco francisco de assis pereira fernanda sousa de eva maria da conceicao francisco nascimento de sousa gabriel pereira da silva e geovane pereira dos santos os tres ultimos nomes sao dos tecnicos da segundo nota divulgada pela a g5 g5 de ofereceu os servicos aos que consensuaram em fechar contrato com a empresa como o movimento sem terra nao tem como fornecer a decisao foi de que a empresa poderia disse pablo neri no comunicado divulgado pela social a g5 internet lamentou profundamente as mortes dos afirmou que segue dando apoio aos familiares das vitimas e fez votos de conforto e fortalecimento aos envolvidos
16,o governo federal lancou uma nova campanha veiculada em neste domingo com o intuito de mobilizar os brasileiros em prol da reconstrucao do sob o lema brasil e um so desde o inicio do a mensagem de uniao e reconstrucao tem sido um foco do e esta campanha se insere nesse contexto de trabalho um dos destaques da campanha e um video reunindo artistas de diversos estilos como sandra de pastor kleber jorge vercillo e manno goes a composicao transmite mensagens de ressaltando a ideia de brasil e um so alem de exaltar a resistencia e determinacao do as pecas publicitarias tambem visam combater o negacionismo e a intolerancia outro video enfoca a mensagem de paz e reconstrucao de ressaltando valores como relacoes familiares e especialmente ressaltados neste periodo do a campanha conta com sete comerciais adicionais que destacam os brasileiros como protagonistas de historias enfatizando reconciliacoes e exemplos de superacao por meio de programas sociais como minha casa minha bolsa farmacia plano safra e o programa de vacinacao
17,o ministerio do desenvolvimento agrario e agricultura familiar divulgou nota neste domingo lamentando a morte de nove trabalhadores em decorrencia de um incendio provocado pela eletrificacao da fiacao de internet no acampamento terra e liberdade em parauapebas do movimento sem terra o presidente lula determinou que o ministro paulo teixeira e o presidente do incra nacional de colonizacao e reforma cesar vao ate o local para acompanhar a leia a o ministerio do desenvolvimento agrario e agricultura familiar e o incra vem a publico se solidarizar com familiares e amigos das vitimas do incendio no acampamento terra e liberdade em parauapebas do movimento dos sem terra a tragedia teria sido ocasionada por causa da eletrificacao da fiacao de internet no na noite de sabado
18,o governo sob a lideranca do presidente luiz inacio lula da lancou uma campanha nacional intitulada brasil e um so esta iniciativa visa fortalecer a uniao entre os brasileiros e apoiar a reconstrucao do pais o lancamento ocorreu neste domingo e a que enfatiza a mensagem de unidade e e uma continuacao dos esforcos do governo desde o inicio do ano com esta reforcar o sentimento de coesao nacional e combater atitudes de negacionismo e um dos destaques da campanha e um clipe musical que reune artistas de diversos como sandra de representando o o pastor kleber lucas com cantos a cantora lelle trazendo o jorge vercillo com sua toada e manno goes com o axe a trilha sonora transmite mensagens de uniao e com letras enfatizando que filhos de uma mae de um brasil que luta e nao se alem do aspecto a campanha tambem apresenta um filme que enfoca a paz e a reconstrucao de lacos sociais e especialmente relevantes no final do ano este filme visa reavivar valores como relacoes familiares e de amizade a iniciativa inclui ainda sete comerciais que destacam historias cotidianas de brasileiros estes comerciais apresentam exemplos de pessoas beneficiadas por programas sociais como minha casa minha bolsa farmacia plano safra e pelo programa de vacinacao as historias enfatizam a importancia da solidariedade e amizade
19,com um cenario de inflacao o brasil se encaminha para uma nova reducao na taxa basica de a na proxima reuniao do comite de politica monetaria do banco marcada para o ministro da fernando projeta que a selic sera ajustada para ao implicando um corte de ponto percentual esta semana promete ser crucial para os com a expectativa de decisoes importantes sobre politica monetaria tanto no brasil quanto em outros grandes centros economicos alem da reuniao do havera a divulgacao das decisoes de juros pelo federal open market committee do federal reserve nos estados e pelo banco central europeu e o banco da inglaterra segundo informa o um dos indicadores mais aguardados antes da decisao do copom e o indice nacional de precos ao consumidor amplo de a ser divulgado pelo instituto brasileiro de geografia e estatistica a expectativa do bradesco e de um aumento de na comparacao mensal esse indice tem um papel fundamental na orientacao das politicas monetarias e na projecao das tendencias economicas alem do a semana tambem traz a divulgacao de outros indicadores economicos como o indice de precos ao consumidor pela o relatorio focus do banco central e os numeros da balanca comercial na serao conhecidos tambem os numeros do indice de confianca do empresario industrial de apresentados pela confederacao nacional da industria a se destaca nao so pela decisao sobre a mas tambem pela divulgacao da pesquisa mensal de servicos e dos dados de fluxo cambial pelo banco central a pesquisa mensal de comercio e o indice de atividade assim como o de dezembro pela fundacao getulio vargas completam a agenda economica da no cenario apos uma semana de ganhos nas bolsas dos o fomc devera manter a taxa de juros entre e
