,Conteudo
10,o presidente lula afirmou nesta 8 que as eleicoes municipais de 2024 devem reeditar sua disputa contra o jair bolsonaro a declaracao foi concedida na abertura da conferencia eleitoral do que comecara a definir os rumos do partido para o pleito do ano que vem acho que essa eleicao sera outra vez lula e bolsonaro disputando nos municipios e voces sabem que nao pode aceitar nao pode ficar com nao pode ficar com nao pode enfiar o rabo no meio das alertou o presidente fazer as eleicoes mais mas a gente nao tera medo de ninguem o unico medo que a gente tem de ter e o de trair a expectativa que o povo brasileiro tem no e nos nossos lula ainda declarou que o governo tem muito a mostrar em seus primeiros 12 mas avaliou que esse nao sera o ponto central para conquistar vitorias em 2024 que vai ajudar a gente a ganhar as eleicoes e a gente ter coragem de fazer o embate politico e ideologico com os nossos para que a gente possa mostrar as diferencas dos projetos de cidades que cada um de voces vai construir
11,a declaracao de silvio almeida foi dada durante sessao publica para celebrar os 75 anos da declaracao universal dos direitos humanos da organizacao das nacoes unidaso conselho nacional de direitos humanos nesta uma sessao publica para celebrar os 75 anos da declaracao universal dos direitos humanos da organizacao das nacoes unidas o o ministro dos direitos humanos e da silvio destacou que as nocoes de direitos humanos vivem em constante disputa e especificamente sobre o o ministro entende que vivemos um momento de divisao ainda mais acentuadopara silvio o capitalismo em crise e as violacoes constantes dos direitos humanos no pais alimentam a ideologia politica do fascismo de maneira particular as crises sao permanentes por conta da nossa condicao de dependencia que a gente insiste em nao se livrar mesmo quando tem oportunidade de o brasil e um pais insensivel a democracia e a participacao ministro defendeu neste momento de celebracao do 75o aniversario da declaracao da preciso avancar em direcao ao pois ainda nao ha garantia de respeito aos diretos humanos no tambem celebrar o conselho nacional de direitos celebrar a politica nacional de direitos que se faz em consonancia com uma politica internacional de direitos que esta em luta e em construcao nao esta nada dado nao esta nada posto nos temos que por isso na luta no na disputa ideologica o campo dos direitos humanos se tornou principal ponto da disputa ideologica sobre o sentido do afirmoua coordenadora residente da onu silvia avalia pelo a declaracao universal dos direitos humanos fortaleceu movimentos sociais pelos direitos de ajudou a diminuir muitas formas de como de contra pessoas com deficiencia e que o brasil tambem teve ajudou a construir instituicoes do estado de direito transparentes e acessiveis orientou o enorme progresso na na na protecao social demonstrou que quando ha maior as decisoes politicas ficam mais seguramente ancoradas na vontade do disseo chefe adjunto da delegacao da uniao europeia no detalhou acoes no territorio em parceria com instituicoes com o apoio aos defensores dos direitos humanos as organizacoes organizacoes nao governamentais em geral e apoio a mais de 30 projetos relativos a igualdade de empoderamento das inclusao economica e social e luta contra as bou defende que o brasil e a devem continuar a valorizar a democracia e a defesa dos direitos alem das relacoes comerciais e dos intercambios culturais imperativo que reforcemos essa parceria para enfrentar o representante da a volta do pais ao conselho de direitos humanos da em contribuira para intercambios mais intensos sobre multiplas questoes e o brasil podera alavancar sua influencia diplomatica para defender os direitos humanos mundo uniao europeia e o enquanto defensores da tem a responsabilidade de promover e proteger a dignidade e os direitos de todas as tanto dentro das suas como na cena disse
12,a de justica de sao paulo informou nesta 8 a abertura de uma investigacao contra o promotor aposentado marcelo que admitiu ter denunciado por vinganca o prefeito paulistano e atual ministro da fernando haddad trabalhava na promotoria de defesa do patrimonio setor do mp responsavel por investigar crimes de corrupcao e improbidade administrativao avaliara a conduta de seu apos ele afirmar ter se em sua conduta e ajuizado acoes de improbidade contra haddadele ofereceu a denuncia em apos haddad relatar ter recebido a informacao de que millani teria pedido 1 milhao de reais em propina para nao apresentar uma acao judicial contra a odebrechta admissao de culpa de millani ocorreu em um acordo firmado entre ele e haddad para encerrar uma acao judicial movida pelo promotor aposentado contra o petista por crimes contra a honrano homologado pelo superior tribunal de millani admite em razao da acusacao de perseguicao politica feita por haddad e uma ma interpretacao da do protocolou quatro acoes
13,o tribunal regional federal da 1a regiao condenou o deputado federal nikolas ferreira a pagar 2 mil reais a senadora eliziane gama e a uniao por ter acionado a justica contra a parlamentar em um processo bolsonarista solicitou a relatora da cpmi do 8 de janeiro que tornasse publica a prestacao de contas de seu alegando um suposto uso indevido de recursos publicos para promocao do mandato os dados no ja estavam disponiveis no portal da transparencia do senadona a juiza federal substituta liviane kelly soares vasconcelos destaca que a acao popular movida por nikolas nao obedece aos requisitos lei da acao popular nao ampara a pretensao do uma vez que cabe ao cidadao diligenciar administrativamente para obter as provas necessarias para comprovar os fatos alegados na inicial caso nao obtenha os documentos ajuizar a propria acao popular comprovando a negativa no fornecimento das informacoes
14,uma pesquisa datafolha divulgada nesta 7 mostra que o presidente lula continua a enfrentar resistencia entre os que compoem do eleitorado brasileiro a reprovacao ao petista nesse grupo e de enquanto entre os catolicos esse indice e de da populacao no segundo o lula fecha o ano em com de enquanto consideram seu trabalho regular e outros o definem como ruim ou pessimo na rodada de os indices de e o datafolha ouviu 2004 eleitores em 135 cidades na 5
15,o depoimento prestado ao tribunal regional eleitoral do parana nesta 7 por sergio moro encerra a fase de instrucao processual em duas acoes que podem levar a cassacao do mandato do senador ate a semana que a defesa do deve apresentar suas alegacoes finais com o cumprimento das ultimas pendencias das o caso pode ir a julgamento na corte no inicio de 2024 em o decidiu analisar em conjunto duas acoes de investigacao contra moro uma delas protocolada pela federacao outra pelo do parana conforme apurou o projeta que a acao ira a julgamento no tribunal superior eleitoral as vesperas das eleicoes municipais de 2024 independentemente do resultado no a parte derrotada acionara o tse para reverter a decisao o depoimento de moro nesta quinta durou menos de uma hora ele respondeu as perguntas do desembargador luciano carrasco falavinha mas nao se manifestou sobre os questionamentos dos advogados de e relacao aos foram propostas acoes cujos fatos nao foram demonstrados eles tem que demonstrar aquilo que eles afirmam me sinto agredido em relacao a esses fatos tudo foi feito segundo as alegou apos a oitiva o depoimento prestado ao tribunal regional eleitoral do parana nesta 7 por sergio moro encerra a fase de instrucao processual em duas acoes que podem levar a cassacao do mandato do senador ate a semana que a defesa do deve apresentar suas alegacoes finais com o cumprimento das ultimas pendencias das o caso pode ir a julgamento na corte no inicio de 2024 em o decidiu analisar em conjunto duas acoes de investigacao contra moro uma delas protocolada pela federacao outra pelo do parana conforme apurou o projeta que a acao ira a julgamento no tribunal superior eleitoral as vesperas das eleicoes municipais de 2024 independentemente do resultado no a parte derrotada acionara o tse para reverter a decisao o depoimento de moro nesta quinta durou menos de uma hora ele respondeu as perguntas do desembargador luciano carrasco falavinha mas nao se manifestou sobre os questionamentos dos advogados de e relacao aos foram propostas acoes cujos fatos nao foram demonstrados eles tem que demonstrar aquilo que eles afirmam me sinto agredido em relacao a esses fatos
16,o senado aprovou nesta 6 a criacao da politica nacional de trabalho digno para a populacao em situacao de que prioriza o acesso ao renda e qualificacao profissional a quem esta em vulnerabilidade social o projeto tem autoria da deputada federal erika hilton resta agora a sancao do presidente luiz inacio lula da silva a proposta aprovada nesta quarta tambem preve a prioridade das pessoas em situacao de rua aos programas sociais e de habitacao do governo todas as medidas propostas no projeto nao impedirao o recebimento de outros beneficios ofertados pelo governo como o bolsa familia segundo o relator do projeto no paulo paim a politica nacional ficara condicionada a frequencia escolar ou a realizacao de um curso tecnico ou universitario para a a politica de trabalho digno contara com uma parceria entre o governo estaduais e municipais para localizar essa parcela populacao em cada regiao e garantir a oferta aos cursos ou vagas em escolas em o projeto tambem promovera a oferta gratuita de espacos seguros para a guarda de objetos pessoais e material escolar enquanto o beneficiario ainda nao e atendido pelos programas habitacionais
17,o lider do governo lula no congresso senador randolfe rodrigues afirmou nesta 11 que deve ocorrer nesta semana a divulgacao de uma proposta alternativa a desoneracao da folha de pagamentos a declaracao foi concedida apos uma reuniao com lideres parlamentares e ministros no palacio do planalto em lula vetou a prorrogacao ate 2027 da desoneracao da folha para 17 setores da economia nesta o ministro da fernando haddad disse apos a reuniao no planalto que a proposta alternativa sera apresentada depois da votacao pelo congresso de importantes projetos da agenda nesta semana esta submetida ao que aprovou a maneira como a gente esta conduzindo as e nao tratamos ainda com os lideres sobre o detalhou o ministro o compromisso desde o comeco eu aprovada a reforma vamos resolver esse sem a as empresas teriam de arcar com impostos equivalentes a da folha de pagamentos
18,o grupo de brasileiros que acha que o brasil esta melhor em na gestao de lula do que estava em sob comando de jair bolsonaro saltou de para nos ultimos 12 meses o crescimento aparece na nova edicao da pesquisa divulgada nesta 8o volume registrado vale e semelhante ao da pesquisa imediatamente de outubro deste ano na comparacao com data da primeira pesquisa veiculada pelo instituto em o salto e ainda de 12 pontos percentuaisa pesquisa ainda mostra que caiu 14 desde dezembro do ano a parcela de brasileiros que diziam que o pais esta pior naquele momento nesta o grupo soma apenas era em dezembro de 2022 na primeira pesquisa do de o grupo somava percepcao de melhoria do pais ultrapassa os entre as mulheres na faixa de idade de 25 a 44 anos e entre os que vivem no nordeste diz ainda o instituto na divulgacao do levantamentoo levantamento desta tambem mostrou uma alta no otimismo da populacao para 2024 seis em cada dez entrevistados 59 acreditam que o brasil vai melhorar em 2024 quatro pontos a mais que no mesmo periodo de 2022 55 quando o pais avistava a posse do presidente destaca o ipespeos mostra a cairam de para quem nao espera melhora e nem piora na situacao do pais era e hoje soma o otimismo e maior entre mulheres mais jovens e nos entrevistados que vivem no nordeste do brasil ipespe realizou 2000 entrevistas por telefone entre os dias 29 de novembro e 2 de dezembro de 2023
19,o governo lula e aprovado por dos aponta uma pesquisa divulgada nesta 8 outros enquanto nao quiseram responder de acordo com o a aprovacao e mais expressiva entre mulheres e os jovens de 18 a 24 anos a pesquisa ainda mostra que para a maioria dos entrevistados a prioridade do governo no proximo ano deve ser reduzir ainda mais o desemprego no pais com um terco das mencoes emprego e renda vem a frente de saude e educacao sobre as perspectivas para o quase seis em cada dez entrevistados acreditam que o brasil vai melhorar em quatro pontos a mais que no mesmo periodo de 2022 em dimensao as projecoes sao mais para a perspectiva de melhora e de mesmo numero levantado pelo instituto em dezembro do ano passado o instituto entrevistou 2000 pessoas de todas as regioes do pais entre 29 de novembro e 02 de fevereiro
